geoName,Keywords,RelativePopularity,Type,Origin,geoSum,PercentageBreakdown
Algeria,Paella,79.0909090909091,Mains,Spanish,2475.080297049825,0.03195488614457543
Algeria,Leche Frita,0.0,Desserts/Drinks,Spanish,2475.080297049825,0.0
Algeria,Pad Thai,0.0,Soup/Noodles,Thai,2475.080297049825,0.0
Algeria,Tom Yum,0.0,Soup/Noodles,Thai,2475.080297049825,0.0
Algeria,Khao Pad,0.0,Mains,Thai,2475.080297049825,0.0
Algeria,Thai Curry,0.0,Mains,Thai,2475.080297049825,0.0
Algeria,Mango Sticky Rice,0.0,Desserts/Drinks,Thai,2475.080297049825,0.0
American Samoa,Burger,0.0,Mains,American,0.0,
American Samoa,Grilled Cheese,0.0,Mains,American,0.0,
American Samoa,Hot dog,0.0,Mains,American,0.0,
American Samoa,Mac and Cheese,0.0,Mains,American,0.0,
American Samoa,Cheesecake,0.0,Desserts/Drinks,American,0.0,
American Samoa,Chow Mein,0.0,Soup/Noodles,Chinese,0.0,
American Samoa,Dimsum,0.0,Sides/Snacks,Chinese,0.0,
American Samoa,Vermicelli roll,0.0,Sides/Snacks,Chinese,0.0,
American Samoa,Wonton,0.0,Sides/Snacks,Chinese,0.0,
American Samoa,Kung Pao Chicken,0.0,Mains,Chinese,0.0,
American Samoa,Mapo Tofu,0.0,Mains,Chinese,0.0,
American Samoa,Peking Duck,0.0,Mains,Chinese,0.0,
American Samoa,Sichuan Chicken,0.0,Mains,Chinese,0.0,
American Samoa,Sichuan Pork,0.0,Mains,Chinese,0.0,
American Samoa,Fried Rice,0.0,Mains,Chinese,0.0,
American Samoa,Lo Mein,0.0,Soup/Noodles,Chinese,0.0,
American Samoa,Bouillabaisse,0.0,Soup/Noodles,French,0.0,
American Samoa,Pot-au-feu,0.0,Soup/Noodles,French,0.0,
American Samoa,Quiche,0.0,Sides/Snacks,French,0.0,
American Samoa,Beef bourguignon,0.0,Mains,French,0.0,
American Samoa,Cottage Pie,0.0,Mains,French,0.0,
American Samoa,Escargot,0.0,Mains,French,0.0,
American Samoa,Foie Gras,0.0,Mains,French,0.0,
American Samoa,Ratatouille,0.0,Mains,French,0.0,
American Samoa,Crepes,0.0,Desserts/Drinks,French,0.0,
American Samoa,Souffle,0.0,Desserts/Drinks,French,0.0,
